timestamp,perclos,avg_eye_speed,avg_fixation,max_fixation,fixation_fatigue_flag
2025-11-02 12:42:31,12.28,30.44,0.08,1.09,0
2025-11-02 12:42:31,12.21,30.44,0.08,1.09,0
2025-11-02 12:42:31,12.14,30.44,0.08,1.09,0
2025-11-02 12:42:31,12.07,30.19,0.08,1.09,0
2025-11-02 12:42:31,12.0,30.19,0.08,1.09,0
2025-11-02 12:42:31,11.93,29.95,0.08,1.09,0
2025-11-02 12:42:31,11.86,30.13,0.09,1.09,0
2025-11-02 12:42:32,11.8,30.55,0.09,1.09,0
2025-11-02 12:42:32,11.73,30.31,0.09,1.09,0
2025-11-02 12:42:32,11.67,30.05,0.09,1.09,0
2025-11-02 12:42:32,11.6,29.8,0.09,1.09,0
2025-11-02 12:42:32,11.54,29.58,0.09,1.09,0
2025-11-02 12:42:32,11.48,29.35,0.09,1.09,0
2025-11-02 12:42:32,11.41,29.13,0.09,1.09,0
2025-11-02 12:42:32,11.35,28.91,0.09,1.09,0
2025-11-02 12:42:32,11.29,28.72,0.09,1.09,0
2025-11-02 12:42:32,11.23,28.53,0.09,1.09,0
2025-11-02 12:42:32,11.17,28.53,0.09,1.09,0
2025-11-02 12:42:32,11.11,28.33,0.09,1.09,0
2025-11-02 12:42:32,11.05,28.05,0.09,1.09,0
2025-11-02 12:42:32,10.99,27.96,0.09,1.09,0
2025-11-02 12:42:32,10.94,27.96,0.09,1.09,0
2025-11-02 12:42:32,10.88,27.76,0.09,1.09,0
2025-11-02 12:42:32,10.82,27.55,0.09,1.09,0
2025-11-02 12:42:33,10.77,27.55,0.09,1.09,0
2025-11-02 12:42:33,10.71,27.55,0.09,1.09,0
2025-11-02 12:42:33,10.66,27.38,0.09,1.09,0
2025-11-02 12:42:33,11.11,27.38,0.09,1.09,0
2025-11-02 12:42:33,11.06,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.0,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.95,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.39,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.33,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.27,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.22,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.17,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.11,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.06,27.2,0.09,1.09,0
2025-11-02 12:42:33,11.0,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.95,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.9,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.85,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.8,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.75,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.7,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.65,27.2,0.09,1.09,0
2025-11-02 12:42:33,10.6,27.2,0.09,1.09,0
2025-11-02 12:42:34,10.55,27.2,0.09,1.09,0
2025-11-02 12:42:34,10.5,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.45,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.41,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.36,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.31,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.27,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.22,27.05,0.1,1.09,0
2025-11-02 12:42:34,10.18,27.05,0.1,1.09,0
